"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner"
"C.6.2","C.6.2","Information security objective and planning to achieve them","GOV-95","ucm1fk9z","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=ucm1fk9z","The organization shall establish information security objectives at relevant functions and levels. The information security objectives shall:

a) be consistent with the information security policy; 

b) be measurable (if practicable); 

c) take into account applicable information security requirements, and results from risk assessment and risk treatment; 

d) be monitored; 

e) be communicated; 

f) be updated as appropriate; 

g) be available as documented information. 

The organization shall retain documented information on the information security objectives. 

When planning how to achieve its information security objectives, the organization shall determine: 

h) what will be done; 

i) what resources will be required; 

j) who will be responsible; 

k) when it will be completed; and 

l) how the results will be evaluated.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.6.3","C.6.3","Planning of Changes","CHG-37","knlhbqw2","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=knlhbqw2","When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.","No","Needs evidence","CHANGE_MANAGEMENT","adrian@moonlet.io"
"C.7.1","C.7.1","Resources","PRM-13","zziew7y2","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=zziew7y2","The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.","No","OK","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io"
"C.7.2","C.7.2","Competence","HRS-52","kksxe7ll","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=kksxe7ll","The organization shall:

a) determine the necessary competence of person(s) doing work under its control that affects its information security performance; 

b) ensure that these persons are competent on the basis of appropriate education, training, or experience; 

c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and 

d) retain appropriate documented information as evidence of competence.","No","Needs evidence","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"C.7.3","C.7.3","Awareness","HRS-53","h8fbfi9g","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=h8fbfi9g","Persons doing work under the organization’s control shall be aware of:

a) the information security policy; 

b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and 

c) the implications of not conforming with the information security management system requirements.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"C.7.4","C.7.4","Communication","GOV-96","qvl84rml","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=qvl84rml","The organization shall determine the need for internal and external communications relevant to the information security management system including: 

a) on what to communicate;

b) when to communicate;

c) with whom to communicate;

d) how to communicate.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.7.5.1","C.7.5.1","Documented information","GOV-97","iuq8lnb6","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=iuq8lnb6","The organization’s information security management system shall include: 

a) documented information required by this document; and 

b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.7.5.2","C.7.5.2","Creating and Updating","GOV-98","gidyzqry","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=gidyzqry","When creating and updating documented information the organization shall ensure appropriate:

a) identification and description (e.g. a title, date, author, or reference number);

b) format (e.g. language, software version, graphics) and media (e.g. paper, electronic); and

c) review and approval for suitability and adequacy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.7.5.3","C.7.5.3","Control of documented information","GOV-99","k955ti0a","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=k955ti0a","Documented information required by the information security management system and by this document shall be controlled to ensure: 

a) it is available and suitable for use, where and when it is needed; and

b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity). 

For the control of documented information, the organization shall address the following activities, as applicable: 

c) distribution, access, retrieval and use;

d) storage and preservation, including the preservation of legibility;

e) control of changes (e.g. version control); and

f) retention and disposition. 

Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.8.1","C.8.1","Operation planning and control","OPS-7","fyts7j6t","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=fyts7j6t","The organization shall plan, implement and control the processes needed to meet requirements, and to implement the actions determined in Clause 6, by:

— establishing criteria for the processes;

— implementing control of the processes in accordance with the criteria. 

Documented information shall be available to the extent necessary to have confidence that the processes have been carried out as planned. 

The organization shall control planned changes and review the consequences of unintended changes, taking action to mitigate any adverse effects, as necessary. 

The organization shall ensure that externally provided processes, products or services that are relevant to the information security management system are controlled.","No","OK","SECURITY_OPERATIONS","tibi@moonlet.io"
"C.8.2","C.8.2","Information security risk assessment","RSK-38","4t917e3g","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=4t917e3g","The organization shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur, taking account of the criteria established in 6.1.2 a). 

The organization shall retain documented information of the results of the information security risk assessments.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io"
"C.8.3","C.8.3","Information security risk treatment","RSK-39","vumyqh2x","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=vumyqh2x","The organization shall retain documented information of the results of the information security risk treatment.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io"
"C.9.1","C.9.1","Monitoring, measurement, analysis, and evaluation","GOV-100","8fv4elvv","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=8fv4elvv","The organization shall determine:

a) what needs to be monitored and measured, including information security processes and controls; 

b) the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure valid results. The methods selected should produce comparable and reproducible results to be considered valid; 

c) when the monitoring and measuring shall be performed; 

d) who shall monitor and measure; 

e) when the results from monitoring and measurement shall be analyzed and evaluated; 

f) who shall analyze and evaluate these results. 

Documented information shall be available as evidence of the results. 

The organization shall evaluate the information security performance and the effectiveness of the information security management system.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.9.2.1","C.9.2.1","Internal Audit - General","CPL-41","7mi2nbsh","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=7mi2nbsh","The organization shall conduct internal audits at planned intervals to provide information on whether the information security management system: 

a) conforms to
  1) the organization’s own requirements for its information security management system; 
  2) the requirements of this document;

b) is effectively implemented and maintained.","No","Needs evidence","COMPLIANCE","adrian@moonlet.io"
"C.9.2.2","C.9.2.2","Internal Audit Program","CPL-42","nqkiqbmz","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=nqkiqbmz","The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting. 

When establishing the internal audit programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits. 

The organization shall: 

a) define the audit criteria and scope for each audit;
 
b) select auditors and conduct audits that ensure objectivity and the impartiality of the audit process; 

c) ensure that the results of the audits are reported to relevant management; 

Documented information shall be available as evidence of the implementation of the audit programme(s) and the audit results.","No","Needs evidence","COMPLIANCE","adrian@moonlet.io"
"C.9.3.1","C.9.3.1","Management review - General","GOV-101","m7cfnwkq","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=m7cfnwkq","Top management shall review the organization's information security management system at planned intervals to ensure its continuing suitability, adequacy and effectiveness.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.9.3.2","C.9.3.2","Management review inputs","GOV-102","steival4","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=steival4","The management review shall include consideration of: 

a) the status of actions from previous management reviews; 

b) changes in external and internal issues that are relevant to the information security management system; 

c) changes in needs and expectations of interested parties that are relevant to the information security management system; 

d) feedback on the information security performance, including trends in: 
  1) nonconformities and corrective actions;
  2) monitoring and measurement results;
  3) audit results; 
  4) fulfilment of information security objectives;

e) feedback from interested parties;

f) results of risk assessment and status of risk treatment plan; 

g) opportunities for continual improvement.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.9.3.3","C.9.3.3","Management review results","GOV-103","u7dltb40","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=u7dltb40","The results of the management review shall include decisions related to continual improvement opportunities and any needs for changes to the information security management system.

Documented information shall be available as evidence of the results of management reviews.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.10.1","C.10.1","Continual Improvement","GOV-104","0eyp30mh","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=0eyp30mh","The organization shall continually improve the suitability, adequacy and effectiveness of the information security management system.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.10.2","C.10.2","Nonconformity and corrective action","CPL-43","pb10fioj","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=pb10fioj","When a Nonconformity occurs, the organization shall:

a) React to the nonconformity, and as applicable:
  1) take action to control and correct it;
  2) deal with the consequences

b) evaluate the need for action to eliminate the causes of nonconformity, in order that it does not recur or occur elsewhere, by;
  1) reviewing the nonconformity;
  2) determining the causes of the nonconformity; and
  3) determining if similar nonconformities exist, or could potentially occur

c) implement any action needed;

d) review the effectiveness of any corrective action taken; and

e) make changes to the information security management system, if necessary. 

Corrective actions shall be appropriate to the effects of the nonconformities encountered.

Documented information shall be available as evidence of:

f) The nature of the nonconformities and any subsequent actions taken,

g) the results of any corrective action.","No","Needs evidence","COMPLIANCE","adrian@moonlet.io"
"A.5.1","A.5.1","Policies for information security","GOV-105","ihtowh2e","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=ihtowh2e","Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"A.5.2","A.5.2","Information security roles and responsibilities","HRS-54","6i8ettoj","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=6i8ettoj","Information security roles and responsibilities shall be defined and allocated according to the organization needs.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"A.5.3","A.5.3","Segregation of duties","HRS-55","v4vhjfvh","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=v4vhjfvh","Conflicting duties and conflicting areas of responsibility shall be segregated.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"A.5.4","A.5.4","Management responsibilities","GOV-106","69z2hplm","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=69z2hplm","Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"A.5.5","A.5.5","Contact with authorities","GOV-107","dm9a5emm","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=dm9a5emm","The organization shall establish and maintain contact with relevant authorities.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"A.5.6","A.5.6","Contact with special interest groups","GOV-108","5sd6imyl","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=5sd6imyl","The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"A.5.7","A.5.7","Threat Intelligence","THR-13","mjnl61h4","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=mjnl61h4","Information relating to information security threats shall be collected and analyzed to produce threat intelligence.","No","Needs evidence","THREAT_MANAGEMENT","tibi@moonlet.io"
"A.5.8","A.5.8","Information security in project management","PRM-14","1lbwjsfo","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=1lbwjsfo","Information security shall be integrated into project management.","No","Needs evidence","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io"
"A.5.9","A.5.9","Inventory of information and other associated assets","AST-66","duwec37o","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=duwec37o","An inventory of information and other associated assets, including owners, shall be developed and maintained.","No","Needs evidence","ASSET_MANAGEMENT",""
"A.5.10","A.5.10","Acceptable use of information and other associated assets","DCH-106","425x42p9","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=425x42p9","Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.","No","OK","DATA_CLASSIFICATION_HANDLING","tibi@moonlet.io"
"A.5.11","A.5.11","Return of assets","AST-67","23wj3sby","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=23wj3sby","Personnel and other interested parties as appropriate shall return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement.","No","Needs evidence","ASSET_MANAGEMENT",""
"A.5.12","A.5.12","Classification of information","DCH-107","m8r0bfbq","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=m8r0bfbq","Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.","No","OK","DATA_CLASSIFICATION_HANDLING","tibi@moonlet.io"
"A.5.13","A.5.13","Labelling of information","DCH-108","5qzssew8","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=5qzssew8","An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.","No","OK","DATA_CLASSIFICATION_HANDLING","tibi@moonlet.io"
"A.5.14","A.5.14","Information transfer","CRY-91","nogvv3hw","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=nogvv3hw","Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.","No","OK","CRYPTOGRAPHIC_PROTECTIONS","tibi@moonlet.io"
"A.5.15","A.5.15","Access control","IAC-197","v2ygke7o","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=v2ygke7o","Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.","No","OK","IDENTIFICATION_AUTHENTICATION","adrian@moonlet.io"
"A.5.16","A.5.16","Identity management","IAC-198","pggqq813","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=pggqq813","The full life cycle of identities shall be managed.","No","OK","IDENTIFICATION_AUTHENTICATION","adrian@moonlet.io"
"A.5.17","A.5.17","Authentication information","IAC-199","5c4gnshh","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=5c4gnshh","Allocation and management of authentication information shall be controlled by a management process, including advising personnel on the appropriate handling of authentication information.","No","OK","IDENTIFICATION_AUTHENTICATION","adrian@moonlet.io"
"A.5.18","A.5.18","Access rights","IAC-200","xtd1rde4","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=xtd1rde4","Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.","No","Needs evidence","IDENTIFICATION_AUTHENTICATION","adrian@moonlet.io"
"A.5.19","A.5.19","Information security in supplier relationships","TPM-53","dz91o1f8","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=dz91o1f8","Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io"
"A.5.20","A.5.20","Addressing information security within supplier agreements","IRO-90","v9blvnxj","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=v9blvnxj","Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.","No","Needs evidence","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.21","A.5.21","Managing information security in the ICT supply chain","TPM-54","69evj2pe","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=69evj2pe","Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io"
"A.5.22","A.5.22","Monitoring, review and change management of supplier services","TPM-55","r7xxjkaz","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=r7xxjkaz","The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.","No","Needs evidence","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io"
"A.5.23","A.5.23","Information security for use of cloud services","CLD-7","zrx7kjgo","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=zrx7kjgo","Processes for acquisition, use, management and exit from cloud services shall be established in accordance with the organization’s information security requirements.","No","OK","CLOUD_SECURITY","tibi@moonlet.io"
"A.5.24","A.5.24","Information security incident management planning and preparation","IRO-91","lggb5g7c","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=lggb5g7c","The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.25","A.5.25","Assessment and decision on information security events","IRO-92","tp0kv7ho","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=tp0kv7ho","The organization shall assess information security events and decide if they are to be categorized as information security incidents.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.26","A.5.26","Response to information security incidents","IRO-93","qmodzmvg","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=qmodzmvg","Information security incidents shall be responded to in accordance with the documented procedures.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.27","A.5.27","Learning from information security incidents","IRO-94","47fxwco1","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=47fxwco1","Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.28","A.5.28","Collection of evidence","IRO-95","2qki93x0","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=2qki93x0","The organization shall establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.29","A.5.29","Information security during disruption","IRO-96","x14j0x47","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=x14j0x47","The organization shall plan how to maintain information security at an appropriate level during disruption.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io"
"A.5.30","A.5.30","ICT readiness for business continuity","BCD-68","9t2qdzle","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=9t2qdzle","ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.","No","OK","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"A.5.31","A.5.31","Legal, statutory, regulatory and contractual requirements","CPL-44","p87muahm","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=p87muahm","Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.","No","OK","COMPLIANCE","adrian@moonlet.io"
"A.5.32","A.5.32","Intellectual property rights","AST-68","gonqt473","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=gonqt473","The organization shall implement appropriate procedures to protect intellectual property rights.","No","OK","ASSET_MANAGEMENT",""
"A.5.33","A.5.33","Protection of records","DCH-109","mtbrd5ny","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=mtbrd5ny","Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","No","OK","DATA_CLASSIFICATION_HANDLING","tibi@moonlet.io"
"A.5.34","A.5.34","Privacy and protection of PII","PRI-224","zz8z506w","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=zz8z506w","The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.","No","OK","PRIVACY","adrian@moonlet.io"
"A.5.35","A.5.35","Independent review of information security","CPL-45","7pn1c8nr","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=7pn1c8nr","The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.","No","Needs evidence","COMPLIANCE","adrian@moonlet.io"
"A.5.36","A.5.36","Compliance with policies, rules and standards for information security","CPL-46","9yz4l6l3","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=9yz4l6l3","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.","No","Needs evidence","COMPLIANCE","adrian@moonlet.io"
"A.5.37","A.5.37","Documented operating procedures","GOV-109","o9q0idpd","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=o9q0idpd","Operating procedures for information processing facilities shall be documented and made available to personnel who need them.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"A.6.1","A.6.1","Screening","HRS-56","i9up48pp","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=i9up48pp","Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"A.6.2","A.6.2","Terms and conditions of employment","HRS-57","erq8anhq","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=erq8anhq","The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"A.6.3","A.6.3","Information security awareness, education and training","SAT-44","h46r2403","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=h46r2403","Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.","No","OK","SECURITY_AWARENESS_TRAINING","adrian@moonlet.io"
"A.6.4","A.6.4","Disciplinary process","HRS-58","zn5t4xav","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=zn5t4xav","A disciplinary process shall be formalized and communicated to take actions against personnel and other relevant interested parties who have committed an information security policy violation","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
"A.6.5","A.6.5","Responsibilities after termination or change of employment","HRS-59","15al5zi7","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=15al5zi7","Information security responsibilities and duties that remain valid after termination or change of employment shall be defined, enforced and communicated to relevant personnel and other interested parties.","No","Needs evidence","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io"
