"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner","Variants"
"CC 1.3","CC 1.2, CC 1.3","Board charter documented","GOV-2","board-of-directors-charter","https://app.eu.vanta.com/frameworks/soc2?controlId=board-of-directors-charter","The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.3","CC 1.3, CC 2.2","Management roles and responsibilities defined","GOV-7","management-roles-responsibilities-defined","https://app.eu.vanta.com/frameworks/soc2?controlId=management-roles-responsibilities-defined","The company management has established defined roles and responsibilities to oversee the design and implementation of information security controls.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.3","CC 1.3","Organization structure documented","GOV-8","organization-structure-documented","https://app.eu.vanta.com/frameworks/soc2?controlId=organization-structure-documented","The company maintains an organizational chart that describes the organizational structure and reporting lines.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.3","CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","Roles and responsibilities specified","GOV-10","role-responsibilities-specified","https://app.eu.vanta.com/frameworks/soc2?controlId=role-responsibilities-specified","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.4","CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","Roles and responsibilities specified","GOV-10","role-responsibilities-specified","https://app.eu.vanta.com/frameworks/soc2?controlId=role-responsibilities-specified","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.4","CC 1.1, CC 1.4, CC 1.5","Performance evaluations conducted","HRS-6","performance-evaluations-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=performance-evaluations-conducted","The company managers are required to complete performance evaluations for direct reports at least annually.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.4","CC 1.4, CC 2.2","Security awareness training implemented","SAT-1","security-awareness-training-completed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-awareness-training-completed","The company requires employees to complete security awareness training within thirty days of hire and at least annually thereafter.","No","OK","SECURITY_AWARENESS_TRAINING","adrian@moonlet.io","Security"
"CC 1.4","CC 1.1, CC 1.4","Employee background checks performed","HRS-1","background-checks-performed","https://app.eu.vanta.com/frameworks/soc2?controlId=background-checks-performed","The company performs background checks on new employees.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.5","CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","Roles and responsibilities specified","GOV-10","role-responsibilities-specified","https://app.eu.vanta.com/frameworks/soc2?controlId=role-responsibilities-specified","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.5","CC 1.1, CC 1.5","Code of Conduct acknowledged by employees and enforced","HRS-3","code-of-conduct-acknowledged-employees","https://app.eu.vanta.com/frameworks/soc2?controlId=code-of-conduct-acknowledged-employees","The company requires employees to acknowledge a code of conduct at the time of hire. Employees who violate the code of conduct are subject to disciplinary actions in accordance with a disciplinary policy.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.5","CC 1.1, CC 1.4, CC 1.5","Performance evaluations conducted","HRS-6","performance-evaluations-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=performance-evaluations-conducted","The company managers are required to complete performance evaluations for direct reports at least annually.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 2.1","CC 2.1, CC 4.1, CC 4.2, P 8.1","Control self-assessments conducted","IAO-1","control-self-assessments-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=control-self-assessments-conducted","The company performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings. If the company has committed to an SLA for a finding, the corrective action is completed within that SLA.","No","OK","INFORMATION_ASSURANCE","adrian@moonlet.io","Security"
"CC 2.1","CC 2.1, CC 4.1, CC 7.1, CC 7.2, CC 7.4, CC 8.1","Vulnerabilities scanned and remediated","VPM-2","vulnerability-scans-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=vulnerability-scans-conducted","Host-based vulnerability scans are performed at least quarterly on all external-facing systems. Critical and high vulnerabilities are tracked to remediation.","No","OK","VULNERABILITY_PATCH_MANAGEMENT","tibi@moonlet.io","Security"
"CC 2.1","CC 2.1, CC 7.2","Log management utilized","MON-2","log-management-utilized","https://app.eu.vanta.com/frameworks/soc2?controlId=log-management-utilized","The company utilizes a log management tool to identify events that may have a potential impact on the company's ability to achieve its security objectives.","No","OK","CONTINUOUS_MONITORING","tibi@moonlet.io","Security"
"CC 2.2","CC 2.2","Whistleblower policy established","CPL-2","whistleblower-policy-established","https://app.eu.vanta.com/frameworks/soc2?controlId=whistleblower-policy-established","The company has established a formalized whistleblower policy, and an anonymous communication channel is in place for users to report potential issues or fraud concerns.","No","OK","COMPLIANCE","adrian@moonlet.io","Security"
"CC 2.2","CC 1.3, CC 2.2","Management roles and responsibilities defined","GOV-7","management-roles-responsibilities-defined","https://app.eu.vanta.com/frameworks/soc2?controlId=management-roles-responsibilities-defined","The company management has established defined roles and responsibilities to oversee the design and implementation of information security controls.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.2","CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","Roles and responsibilities specified","GOV-10","role-responsibilities-specified","https://app.eu.vanta.com/frameworks/soc2?controlId=role-responsibilities-specified","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.2","CC 2.2, CC 5.1, CC 5.2, CC 5.3","Security policies established and reviewed","GOV-11","security-policies-established-reviewed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-policies-established-reviewed","The company's information security policies and procedures are documented and reviewed at least annually.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.2","CC 2.2","System changes communicated","GOV-13","system-changes-communicated","https://app.eu.vanta.com/frameworks/soc2?controlId=system-changes-communicated","The company communicates system changes to authorized internal users.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.2","CC 2.2, CC 5.3, CC 7.3, CC 7.4, CC 7.5, P 6.3, P 6.4, P 6.5, P 6.6","Incident response policies established","IRO-2","incident-response-policies-established","https://app.eu.vanta.com/frameworks/soc2?controlId=incident-response-policies-established","The company has security and privacy incident response policies and procedures that are documented and communicated to authorized users.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io","Security"
"CC 2.2","CC 2.2, CC 2.3, PI 1.1","Service description communicated","PRM-3","service-description-communicated","https://app.eu.vanta.com/frameworks/soc2?controlId=service-description-communicated","The company provides a description of its products and services to internal and external users.","No","OK","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 2.2","CC 1.4, CC 2.2","Security awareness training implemented","SAT-1","security-awareness-training-completed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-awareness-training-completed","The company requires employees to complete security awareness training within thirty days of hire and at least annually thereafter.","No","OK","SECURITY_AWARENESS_TRAINING","adrian@moonlet.io","Security"
"CC 2.3","CC 2.3","System changes externally communicated","GOV-6","external-service-impact-notifications","https://app.eu.vanta.com/frameworks/soc2?controlId=external-service-impact-notifications","The company notifies customers of critical system changes that may affect their processing.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.3","CC 2.3","Support system available","GOV-12","support-system-available","https://app.eu.vanta.com/frameworks/soc2?controlId=support-system-available","The company has an external-facing support system in place that allows users to report system information on failures, incidents, concerns, and other complaints to appropriate personnel.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 2.3","CC 2.3, PI 1.1","Company commitments externally communicated","PRM-1","commitments-externally-communicated","https://app.eu.vanta.com/frameworks/soc2?controlId=commitments-externally-communicated","The company's security commitments are communicated to customers in Master Service Agreements (MSA) or Terms of Service (TOS).","No","OK","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 2.3","CC 2.3, PI 1.1","External support resources available","PRM-2","external-support-resources","https://app.eu.vanta.com/frameworks/soc2?controlId=external-support-resources","The company provides guidelines and technical support resources relating to system operations to customers.","No","OK","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 2.3","CC 2.2, CC 2.3, PI 1.1","Service description communicated","PRM-3","service-description-communicated","https://app.eu.vanta.com/frameworks/soc2?controlId=service-description-communicated","The company provides a description of its products and services to internal and external users.","No","OK","PROJECT_RESOURCE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 2.3","CC 2.3, CC 9.2, C 1.1, P 6.1, P 6.4, P 6.5","Third-party agreements established","TPM-1","third-party-agreements","https://app.eu.vanta.com/frameworks/soc2?controlId=third-party-agreements","The company has written agreements in place with vendors and related third-parties. These agreements include confidentiality and privacy commitments applicable to that entity.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.1","CC 3.1, CC 5.3","Risk assessment objectives specified","RSK-1","risk-assessment-objectives","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-objectives","The company specifies its objectives to enable the identification and assessment of risk related to the objectives.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.1","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.2","CC 3.2, CC 7.5, A 1.2, A 1.3, PI 1.5","Continuity and disaster recovery plans tested","BCD-2","continuity-disaster-recovery-plans-tested","https://app.eu.vanta.com/frameworks/soc2?controlId=continuity-disaster-recovery-plans-tested","The company has a documented business continuity/disaster recovery (BC/DR) plan and tests it at least annually.","No","OK","BUSINESS_CONTINUITY_DISASTER_RECOVERY","","Security"
"CC 3.2","CC 3.2, CC 3.3, CC 3.4, CC 7.1, CC 9.1, A 1.2","Risks assessments performed","RSK-2","risk-assessment-performed","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-performed","The company's risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.2","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.2","CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2, P 6.1, P 6.4","Vendor management program established","TPM-2","vendor-management-program-established","https://app.eu.vanta.com/frameworks/soc2?controlId=vendor-management-program-established","The company has a vendor management program in place. Components of this program include:
- critical third-party vendor inventory;
- vendor's security and privacy requirements; and
- review of critical third-party vendors at least annually.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.3","CC 3.2, CC 3.3, CC 3.4, CC 7.1, CC 9.1, A 1.2","Risks assessments performed","RSK-2","risk-assessment-performed","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-performed","The company's risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.3","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.4","CC 3.4, CC 7.1","Configuration management system established","CFG-1","configuration-management-system-established","https://app.eu.vanta.com/frameworks/soc2?controlId=configuration-management-system-established","The company has a configuration management procedure in place to ensure that system configurations are deployed consistently throughout the environment.","No","OK","CONFIGURATION_MANAGEMENT","tibi@moonlet.io","Security"
"CC 3.4","CC 3.4, CC 4.1, CC 7.2, CC 8.1","Penetration testing performed","IAO-2","penetration-testing","https://app.eu.vanta.com/frameworks/soc2?controlId=penetration-testing","The company's penetration testing is performed at least annually. A remediation plan is developed and changes are implemented to remediate vulnerabilities in accordance with SLAs.","No","OK","INFORMATION_ASSURANCE","adrian@moonlet.io","Security"
"CC 3.4","CC 3.2, CC 3.3, CC 3.4, CC 7.1, CC 9.1, A 1.2","Risks assessments performed","RSK-2","risk-assessment-performed","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-performed","The company's risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 3.4","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 4.1","CC 2.1, CC 4.1, CC 4.2, P 8.1","Control self-assessments conducted","IAO-1","control-self-assessments-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=control-self-assessments-conducted","The company performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings. If the company has committed to an SLA for a finding, the corrective action is completed within that SLA.","No","OK","INFORMATION_ASSURANCE","adrian@moonlet.io","Security"
"CC 4.1","CC 3.4, CC 4.1, CC 7.2, CC 8.1","Penetration testing performed","IAO-2","penetration-testing","https://app.eu.vanta.com/frameworks/soc2?controlId=penetration-testing","The company's penetration testing is performed at least annually. A remediation plan is developed and changes are implemented to remediate vulnerabilities in accordance with SLAs.","No","OK","INFORMATION_ASSURANCE","adrian@moonlet.io","Security"
"CC 4.1","CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2, P 6.1, P 6.4","Vendor management program established","TPM-2","vendor-management-program-established","https://app.eu.vanta.com/frameworks/soc2?controlId=vendor-management-program-established","The company has a vendor management program in place. Components of this program include:
- critical third-party vendor inventory;
- vendor's security and privacy requirements; and
- review of critical third-party vendors at least annually.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io","Security"
"CC 4.1","CC 2.1, CC 4.1, CC 7.1, CC 7.2, CC 7.4, CC 8.1","Vulnerabilities scanned and remediated","VPM-2","vulnerability-scans-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=vulnerability-scans-conducted","Host-based vulnerability scans are performed at least quarterly on all external-facing systems. Critical and high vulnerabilities are tracked to remediation.","No","OK","VULNERABILITY_PATCH_MANAGEMENT","tibi@moonlet.io","Security"
"CC 4.2","CC 2.1, CC 4.1, CC 4.2, P 8.1","Control self-assessments conducted","IAO-1","control-self-assessments-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=control-self-assessments-conducted","The company performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings. If the company has committed to an SLA for a finding, the corrective action is completed within that SLA.","No","OK","INFORMATION_ASSURANCE","adrian@moonlet.io","Security"
"CC 4.2","CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2, P 6.1, P 6.4","Vendor management program established","TPM-2","vendor-management-program-established","https://app.eu.vanta.com/frameworks/soc2?controlId=vendor-management-program-established","The company has a vendor management program in place. Components of this program include:
- critical third-party vendor inventory;
- vendor's security and privacy requirements; and
- review of critical third-party vendors at least annually.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.1","CC 2.2, CC 5.1, CC 5.2, CC 5.3","Security policies established and reviewed","GOV-11","security-policies-established-reviewed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-policies-established-reviewed","The company's information security policies and procedures are documented and reviewed at least annually.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 5.1","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.2","CC 5.2, CC 5.3, CC 6.8, CC 8.1, PI 1.2, PI 1.3","Development lifecycle established","CHG-3","development-lifecycle-established","https://app.eu.vanta.com/frameworks/soc2?controlId=development-lifecycle-established","The company has a formal systems development life cycle (SDLC) methodology in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information systems and related technology requirements.","No","OK","CHANGE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.2","CC 2.2, CC 5.1, CC 5.2, CC 5.3","Security policies established and reviewed","GOV-11","security-policies-established-reviewed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-policies-established-reviewed","The company's information security policies and procedures are documented and reviewed at least annually.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 5.2","CC 5.2, CC 6.1, CC 6.2, CC 6.3","Access control procedures established","IAC-2","access-control-procedures","https://app.eu.vanta.com/frameworks/soc2?controlId=access-control-procedures","The company's access control policy documents the requirements for the following access control functions: 
- adding new users;
- modifying users; and/or 
- removing an existing user's access.","No","OK","IDENTIFICATION_AUTHENTICATION","adrian@moonlet.io","Security"
"CC 5.3","CC 5.3, CC 6.5, C 1.1, P 4.2","Data retention procedures established","AST-2","data-retention-procedures-established","https://app.eu.vanta.com/frameworks/soc2?controlId=data-retention-procedures-established","The company has formal retention and disposal procedures in place to guide the secure retention and disposal of company and customer data.","No","OK","ASSET_MANAGEMENT","","Security"
"CC 5.3","CC 5.2, CC 5.3, CC 6.8, CC 8.1, PI 1.2, PI 1.3","Development lifecycle established","CHG-3","development-lifecycle-established","https://app.eu.vanta.com/frameworks/soc2?controlId=development-lifecycle-established","The company has a formal systems development life cycle (SDLC) methodology in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information systems and related technology requirements.","No","OK","CHANGE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.3","CC 5.3, A 1.2, A 1.3","Backup processes established","GOV-5","data-backup-procedures","https://app.eu.vanta.com/frameworks/soc2?controlId=data-backup-procedures","The company's data backup policy documents requirements for backup and recovery of customer data.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 5.3","CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","Roles and responsibilities specified","GOV-10","role-responsibilities-specified","https://app.eu.vanta.com/frameworks/soc2?controlId=role-responsibilities-specified","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 5.3","CC 2.2, CC 5.1, CC 5.2, CC 5.3","Security policies established and reviewed","GOV-11","security-policies-established-reviewed","https://app.eu.vanta.com/frameworks/soc2?controlId=security-policies-established-reviewed","The company's information security policies and procedures are documented and reviewed at least annually.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 5.3","CC 2.2, CC 5.3, CC 7.3, CC 7.4, CC 7.5, P 6.3, P 6.4, P 6.5, P 6.6","Incident response policies established","IRO-2","incident-response-policies-established","https://app.eu.vanta.com/frameworks/soc2?controlId=incident-response-policies-established","The company has security and privacy incident response policies and procedures that are documented and communicated to authorized users.","No","OK","INCIDENT_RESPONSE","adrian@moonlet.io","Security"
"CC 5.3","CC 3.1, CC 5.3","Risk assessment objectives specified","RSK-1","risk-assessment-objectives","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-objectives","The company specifies its objectives to enable the identification and assessment of risk related to the objectives.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.3","CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1, A 1.2, P 8.1","Risk management program established","RSK-3","risk-assessment-program","https://app.eu.vanta.com/frameworks/soc2?controlId=risk-assessment-program","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.3","CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2, P 6.1, P 6.4","Vendor management program established","TPM-2","vendor-management-program-established","https://app.eu.vanta.com/frameworks/soc2?controlId=vendor-management-program-established","The company has a vendor management program in place. Components of this program include:
- critical third-party vendor inventory;
- vendor's security and privacy requirements; and
- review of critical third-party vendors at least annually.","No","OK","THIRD_PARTY_MANAGEMENT","adrian@moonlet.io","Security"
"CC 5.3","CC 5.3, CC 7.1, CC 8.1","Change management procedures enforced","CHG-1","change-management-procedures","https://app.eu.vanta.com/frameworks/soc2?controlId=change-management-procedures","The company requires changes to software and infrastructure components of the service to be authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","No","OK","CHANGE_MANAGEMENT","","Security"
"CC 6.1","CC 6.1","Production inventory maintained","AST-3","production-inventory-maintained","https://app.eu.vanta.com/frameworks/soc2?controlId=production-inventory-maintained","The company maintains a formal inventory of production system assets.","No","OK","ASSET_MANAGEMENT","","Security"
"CC 6.1","CC 6.1, CC 8.1","Production deployment access restricted","CHG-2","changes-approval-required","https://app.eu.vanta.com/frameworks/soc2?controlId=changes-approval-required","The company restricts access to migrate changes to production to authorized personnel.","No","OK","CHANGE_MANAGEMENT","adrian@moonlet.io","Security"
"CC 6.1","CC 6.1","Unique production database authentication enforced","CRY-1","access-datastores-ssh","https://app.eu.vanta.com/frameworks/soc2?controlId=access-datastores-ssh","The company requires authentication to production datastores to use authorized secure authentication mechanisms, such as unique SSH key.","No","OK","CRYPTOGRAPHIC_PROTECTIONS","tibi@moonlet.io","Security"
"CC 6.1","CC 6.1, C 1.1","Unique account authentication enforced","CRY-5","unique-account-authentication-enforced","https://app.eu.vanta.com/frameworks/soc2?controlId=unique-account-authentication-enforced","The company requires authentication to systems and applications to use unique username and password or authorized Secure Socket Shell (SSH) keys.","No","OK","CRYPTOGRAPHIC_PROTECTIONS","tibi@moonlet.io","Security"
"CC 6.1","CC 6.1, C 1.1","Data classification policy established","DCH-5","data-classification-policy","https://app.eu.vanta.com/frameworks/soc2?controlId=data-classification-policy","The company has a data classification policy in place to help ensure that confidential data is properly secured and restricted to authorized personnel.","No","OK","DATA_CLASSIFICATION_HANDLING","tibi@moonlet.io","Security"
